id,timestamp,device,temperature,humidity,rssi,snr,frequency,spreading_factor,bandwidth,dev_eui,payload
1,2025-03-16 22:12:05.353,DHT-11,,,-35,9.8,923.2,10,125,d7790368c03b5eca,Invalid
2,2025-03-16 22:12:05.353,DHT-11,28.1,94,-35,9.8,923.2,10,125,d7790368c03b5eca,1c 0a 5e 00
3,2025-03-16 22:12:38.697,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
4,2025-03-16 22:12:38.349,DHT-11,,,-37,10,922.2,10,125,d7790368c03b5eca,Invalid
5,2025-03-16 22:13:15.075,DHT-11,,,-47,8.8,922.6,7,125,d7790368c03b5eca,Invalid
6,2025-03-16 22:13:15.428,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
7,2025-03-16 22:23:21.879,DHT-11,28,94,-37,7.2,923,7,125,d7790368c03b5eca,1c 00 5e 00
8,2025-03-16 22:23:27.009,DHT-11,,,-36,8,922.8,7,125,d7790368c03b5eca,Invalid
9,2025-03-16 22:23:28.116,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
10,2025-03-16 22:23:31.987,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
11,2025-03-16 22:23:31.637,DHT-11,,,-47,9,922.4,7,125,d7790368c03b5eca,Invalid
12,2025-03-16 22:23:36.602,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
13,2025-03-16 22:23:36.259,DHT-11,,,-48,9.5,923.4,7,125,d7790368c03b5eca,Invalid
14,2025-03-16 22:33:38.417,DHT-11,28.5,95,-47,10.5,923.4,7,125,d7790368c03b5eca,1c 32 5f 00
15,2025-03-16 22:43:40.589,DHT-11,28,95,-43,10.2,923.2,7,125,d7790368c03b5eca,1c 00 5f 00
16,2025-03-16 22:53:42.759,DHT-11,28,95,-47,10,923.2,7,125,d7790368c03b5eca,1c 00 5f 00
17,2025-03-16 23:13:47.109,DHT-11,27.6,96,-46,10.8,922.2,7,125,d7790368c03b5eca,1b 3c 60 00
18,2025-03-16 23:33:51.439,DHT-11,27.6,96,-47,10.5,923.2,7,125,d7790368c03b5eca,1b 3c 60 00
19,2025-03-16 23:43:53.617,DHT-11,27.6,96,-47,8,923,7,125,d7790368c03b5eca,1b 3c 60 00
20,2025-03-16 23:53:55.79,DHT-11,27.6,96,-47,9.8,923.4,7,125,d7790368c03b5eca,1b 3c 60 00
21,2025-03-17 00:03:57.959,DHT-11,28,95,-45,10.5,922.8,7,125,d7790368c03b5eca,1c 00 5f 00
22,2025-03-17 00:14:00.129,DHT-11,28,95,-48,9.8,923.4,7,125,d7790368c03b5eca,1c 00 5f 00
23,2025-03-17 00:24:02.289,DHT-11,28,95,-48,10.2,922.4,7,125,d7790368c03b5eca,1c 00 5f 00
24,2025-03-17 00:34:04.47,DHT-11,28,95,-48,10,922.6,7,125,d7790368c03b5eca,1c 00 5f 00
25,2025-03-17 00:54:08.81,DHT-11,28,95,-47,10.2,922.8,7,125,d7790368c03b5eca,1c 00 5f 00
26,2025-03-17 01:04:10.979,DHT-11,28,95,-46,9,923.4,7,125,d7790368c03b5eca,1c 00 5f 00
27,2025-03-17 01:14:13.146,DHT-11,28.1,95,-47,9,922.6,7,125,d7790368c03b5eca,1c 0a 5f 00
28,2025-03-17 01:14:18.276,DHT-11,,,-46,9.2,923.4,7,125,d7790368c03b5eca,Invalid
29,2025-03-17 01:14:19.327,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
30,2025-03-17 01:14:22.907,DHT-11,,,-48,9.8,922.4,7,125,d7790368c03b5eca,Invalid
31,2025-03-17 01:14:23.266,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
32,2025-03-17 01:24:25.079,DHT-11,28.5,95,-44,8.8,923.2,7,125,d7790368c03b5eca,1c 32 5f 00
33,2025-03-17 01:24:30.549,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
34,2025-03-17 01:24:35.689,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
35,2025-03-17 01:34:37.509,DHT-11,28.1,95,-47,10.2,922.2,7,125,d7790368c03b5eca,1c 0a 5f 00
36,2025-03-17 01:34:43.01,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
37,2025-03-17 01:34:48.131,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
38,2025-03-17 01:44:49.958,DHT-11,28,95,-45,9.8,923.2,7,125,d7790368c03b5eca,1c 00 5f 00
39,2025-03-17 01:44:55.448,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
40,2025-03-17 01:55:02.399,DHT-11,28,95,-47,10.2,922.8,7,125,d7790368c03b5eca,1c 00 5f 00
41,2025-03-17 01:55:07.886,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
42,2025-03-17 01:55:13.028,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
43,2025-03-17 02:05:14.846,DHT-11,28,95,-47,10.2,922.6,7,125,d7790368c03b5eca,1c 00 5f 00
44,2025-03-17 02:05:20.341,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
