id,timestamp,device,temperature,humidity,rssi,snr,frequency,spreading_factor,bandwidth,dev_eui,payload
1,2025-03-15 08:59:02.279,DHT-11,29.79,89,-36,11.2,923.4,10,125,d7790368c03b5eca,1d 4f 59 00
2,2025-03-15 08:59:02.279,DHT-11,,,-36,11.2,923.4,10,125,d7790368c03b5eca,Invalid
3,2025-03-15 08:59:35.628,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
4,2025-03-15 08:59:35.269,DHT-11,,,-34,9.2,922.2,10,125,d7790368c03b5eca,Invalid
5,2025-03-15 09:04:14.187,DHT-11,29.79,88,-41,11,923.2,7,125,d7790368c03b5eca,1d 4f 58 00
6,2025-03-15 09:08:21.479,DHT-11,29.79,88,-43,10,922.4,7,125,d7790368c03b5eca,1d 4f 58 00
7,2025-03-15 09:08:26.972,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
8,2025-03-15 09:08:26.618,DHT-11,,,-40,7,923,7,125,d7790368c03b5eca,Invalid
9,2025-03-15 09:08:31.58,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
10,2025-03-15 09:08:31.232,DHT-11,,,-41,9.2,923.2,7,125,d7790368c03b5eca,Invalid
11,2025-03-15 09:08:35.859,DHT-11,,,-47,9.5,922.8,7,125,d7790368c03b5eca,Invalid
12,2025-03-15 09:08:36.221,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
13,2025-03-15 09:08:40.489,DHT-11,,,-48,8.5,923.4,7,125,d7790368c03b5eca,Invalid
14,2025-03-15 09:08:40.843,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
15,2025-03-15 09:12:42.669,DHT-11,30.2,87,-47,10.8,922.6,7,125,d7790368c03b5eca,1e 14 57 00
16,2025-03-15 09:16:44.848,DHT-11,30.2,88,-51,10,922.8,7,125,d7790368c03b5eca,1e 14 58 00
17,2025-03-15 09:20:47.018,DHT-11,30.2,87,-45,9.5,923.4,7,125,d7790368c03b5eca,1e 14 57 00
18,2025-03-15 09:24:49.199,DHT-11,30.2,87,-41,8.8,923.2,7,125,d7790368c03b5eca,1e 14 57 00
19,2025-03-15 09:28:51.373,DHT-11,30.2,87,-43,9.2,922.2,7,125,d7790368c03b5eca,1e 14 57 00
20,2025-03-15 09:32:53.549,DHT-11,30.2,87,-43,9.5,922.6,7,125,d7790368c03b5eca,1e 14 57 00
21,2025-03-15 09:36:55.74,DHT-11,30.2,87,-47,7.5,923,7,125,d7790368c03b5eca,1e 14 57 00
