id,timestamp,device,temperature,humidity,rssi,snr,frequency,spreading_factor,bandwidth,dev_eui,payload
1,2025-03-18 12:16:22.769,DHT-11,29.79,98,-39,8.5,923.4,10,125,d7790368c03b5eca,1d 4f 62 00
2,2025-03-18 12:16:22.769,DHT-11,,,-39,8.5,923.4,10,125,d7790368c03b5eca,Invalid
3,2025-03-18 12:16:55.759,DHT-11,,,-36,9,922.2,10,125,d7790368c03b5eca,Invalid
4,2025-03-18 12:16:56.709,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
5,2025-03-18 12:17:32.494,DHT-11,,,-41,9.8,923.2,7,125,d7790368c03b5eca,Invalid
6,2025-03-18 12:17:33.228,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
7,2025-03-18 12:17:37.119,DHT-11,,,-46,11.2,922.8,7,125,d7790368c03b5eca,Invalid
8,2025-03-18 12:17:37.744,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
9,2025-03-18 12:17:42.142,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
10,2025-03-18 12:17:41.745,DHT-11,,,-48,6.8,923,7,125,d7790368c03b5eca,Invalid
11,2025-03-18 12:24:48.539,DHT-11,29.79,98,-51,9.8,922.6,7,125,d7790368c03b5eca,1d 4f 62 00
12,2025-03-18 12:24:53.673,DHT-11,,,-50,9,923.4,7,125,d7790368c03b5eca,Invalid
13,2025-03-18 12:24:54.057,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
14,2025-03-18 12:31:55.849,DHT-11,29.79,98,-57,9.8,923.4,7,125,d7790368c03b5eca,1d 4f 62 00
15,2025-03-18 12:38:58.019,DHT-11,29.79,96,-66,8.5,923.2,7,125,d7790368c03b5eca,1d 4f 60 00
16,2025-03-18 12:46:00.197,DHT-11,30.2,94,-55,9.5,922.4,7,125,d7790368c03b5eca,1e 14 5e 00
17,2025-03-18 12:53:02.368,DHT-11,30.79,92,-51,10.2,922.8,7,125,d7790368c03b5eca,1e 4f 5c 00
18,2025-03-18 13:00:04.539,DHT-11,30.79,92,-55,9,922.4,7,125,d7790368c03b5eca,1e 4f 5c 00
19,2025-03-18 13:07:06.719,DHT-11,30.79,91,-55,9.8,923.4,7,125,d7790368c03b5eca,1e 4f 5b 00
20,2025-03-18 13:21:11.059,DHT-11,30.79,91,-57,10,923.2,7,125,d7790368c03b5eca,1e 4f 5b 00
21,2025-03-18 13:28:13.239,DHT-11,30.79,91,-54,9.5,922.6,7,125,d7790368c03b5eca,1e 4f 5b 00
22,2025-03-18 13:35:15.418,DHT-11,30.79,91,-54,10.5,923.4,7,125,d7790368c03b5eca,1e 4f 5b 00
23,2025-03-18 13:42:17.589,DHT-11,30.79,92,-54,10.2,923.2,7,125,d7790368c03b5eca,1e 4f 5c 00
24,2025-03-18 13:49:19.769,DHT-11,30.79,92,-47,7,923,7,125,d7790368c03b5eca,1e 4f 5c 00
25,2025-03-18 13:56:21.939,DHT-11,31.29,92,-53,10.2,922.2,7,125,d7790368c03b5eca,1f 1d 5c 00
26,2025-03-18 14:03:24.109,DHT-11,31.29,92,-54,11.5,922.6,7,125,d7790368c03b5eca,1f 1d 5c 00
27,2025-03-18 14:10:26.289,DHT-11,31.29,92,-53,9.5,922.2,7,125,d7790368c03b5eca,1f 1d 5c 00
28,2025-03-18 14:17:28.469,DHT-11,31.29,92,-54,8.2,923.4,7,125,d7790368c03b5eca,1f 1d 5c 00
29,2025-03-18 14:17:33.593,DHT-11,,,-54,9.5,922.8,7,125,d7790368c03b5eca,Invalid
30,2025-03-18 14:17:34.015,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
31,2025-03-18 14:17:38.571,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
32,2025-03-18 14:17:38.209,DHT-11,,,-57,9.5,923.4,7,125,d7790368c03b5eca,Invalid
33,2025-03-18 14:24:40.399,DHT-11,31.29,92,-54,10.2,923.2,7,125,d7790368c03b5eca,1f 1d 5c 00
34,2025-03-18 14:24:45.529,DHT-11,31.29,92,-49,6.2,923,7,125,d7790368c03b5eca,1f 1d 5c 00
35,2025-03-18 14:24:51.02,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
36,2025-03-18 14:24:50.659,DHT-11,,,-55,10,922.4,7,125,d7790368c03b5eca,Invalid
37,2025-03-18 14:31:57.457,DHT-11,31.29,93,-54,10.2,923.2,7,125,d7790368c03b5eca,1f 1d 5d 00
38,2025-03-18 14:32:02.589,DHT-11,,,-55,9.5,923.4,7,125,d7790368c03b5eca,Invalid
39,2025-03-18 14:32:02.96,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
