id,timestamp,device,temperature,humidity,rssi,snr,frequency,spreading_factor,bandwidth,dev_eui,payload
1,2025-03-15 23:04:48.206,DHT-11,,,-35,10,923.2,10,125,d7790368c03b5eca,Invalid
2,2025-03-15 23:04:48.206,DHT-11,29.79,92,-35,10,923.2,10,125,d7790368c03b5eca,1d 4f 5c 00
3,2025-03-15 23:06:23.655,DHT-11,29.79,92,-33,11.5,923.2,10,125,d7790368c03b5eca,1d 4f 5c 00
4,2025-03-15 23:06:56.659,DHT-11,,,-33,12,922.2,10,125,d7790368c03b5eca,Invalid
5,2025-03-15 23:06:57.015,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
6,2025-03-15 23:07:33.389,DHT-11,,,-39,9.5,923.2,7,125,d7790368c03b5eca,Invalid
7,2025-03-15 23:07:33.776,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
8,2025-03-15 23:07:38.019,DHT-11,,,-36,8.8,922.8,7,125,d7790368c03b5eca,Invalid
9,2025-03-15 23:07:38.399,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
10,2025-03-15 23:07:42.99,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
11,2025-03-15 23:07:42.649,DHT-11,,,-45,8,923,7,125,d7790368c03b5eca,Invalid
12,2025-03-15 23:07:47.609,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
13,2025-03-15 23:07:47.266,DHT-11,,,-45,9,923.4,7,125,d7790368c03b5eca,Invalid
14,2025-03-15 23:08:49.455,DHT-11,30.2,91,-43,9,923.4,7,125,d7790368c03b5eca,1e 14 5b 00
15,2025-03-15 23:09:51.627,DHT-11,29.79,92,-45,9.5,922.6,7,125,d7790368c03b5eca,1d 4f 5c 00
16,2025-03-15 23:10:53.809,DHT-11,29.79,92,-43,8.8,922.4,7,125,d7790368c03b5eca,1d 4f 5c 00
17,2025-03-15 23:11:55.995,DHT-11,29.79,92,-47,10.5,923.4,7,125,d7790368c03b5eca,1d 4f 5c 00
18,2025-03-15 23:12:58.169,DHT-11,29.79,92,-45,9.5,923.2,7,125,d7790368c03b5eca,1d 4f 5c 00
19,2025-03-15 23:15:02.538,DHT-11,29.79,92,-48,10,923.2,7,125,d7790368c03b5eca,1d 4f 5c 00
20,2025-03-15 23:16:04.717,DHT-11,29.79,92,-49,9.5,922.2,7,125,d7790368c03b5eca,1d 4f 5c 00
21,2025-03-15 23:17:06.899,DHT-11,29.79,92,-51,10.2,923.4,7,125,d7790368c03b5eca,1d 4f 5c 00
22,2025-03-15 23:18:09.078,DHT-11,29.79,92,-51,10,922.6,7,125,d7790368c03b5eca,1d 4f 5c 00
23,2025-03-15 23:19:11.259,DHT-11,29.79,92,-51,10.2,922.4,7,125,d7790368c03b5eca,1d 4f 5c 00
24,2025-03-15 23:20:13.433,DHT-11,29.79,92,-49,7.2,923,7,125,d7790368c03b5eca,1d 4f 5c 00
25,2025-03-15 23:21:15.619,DHT-11,29.79,92,-50,8.5,922.8,7,125,d7790368c03b5eca,1d 4f 5c 00
26,2025-03-15 23:23:19.979,DHT-11,29.79,92,-53,9.8,922.2,7,125,d7790368c03b5eca,1d 4f 5c 00
27,2025-03-15 23:24:22.153,DHT-11,29.79,92,-51,9,923.4,7,125,d7790368c03b5eca,1d 4f 5c 00
28,2025-03-15 23:25:24.339,DHT-11,29.79,92,-53,10.2,923.2,7,125,d7790368c03b5eca,1d 4f 5c 00
29,2025-03-15 23:26:26.52,DHT-11,29.79,92,-53,10,922.4,7,125,d7790368c03b5eca,1d 4f 5c 00
30,2025-03-15 23:26:31.999,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
31,2025-03-15 23:26:31.649,DHT-11,,,-53,10.2,922.6,7,125,d7790368c03b5eca,Invalid
32,2025-03-15 23:26:36.654,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
33,2025-03-15 23:26:36.279,DHT-11,,,-51,6.8,923,7,125,d7790368c03b5eca,Invalid
34,2025-03-15 23:27:38.459,DHT-11,29.79,92,-49,9.8,923.2,7,125,d7790368c03b5eca,1d 4f 5c 00
35,2025-03-15 23:27:43.589,DHT-11,29.79,92,-51,9.2,923.4,7,125,d7790368c03b5eca,1d 4f 5c 00
36,2025-03-15 23:27:48.719,DHT-11,,,-51,9.8,922.8,7,125,d7790368c03b5eca,Invalid
37,2025-03-15 23:27:49.073,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
38,2025-03-15 23:27:53.339,DHT-11,,,-53,9.5,923.4,7,125,d7790368c03b5eca,Invalid
39,2025-03-15 23:27:53.689,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
40,2025-03-15 23:28:55.529,DHT-11,29.79,92,-51,9.2,922.2,7,125,d7790368c03b5eca,1d 4f 5c 00
41,2025-03-15 23:29:57.703,DHT-11,29.79,92,-53,9.2,922.4,7,125,d7790368c03b5eca,1d 4f 5c 00
42,2025-03-15 23:30:59.886,DHT-11,29.79,92,-51,9.8,922.8,7,125,d7790368c03b5eca,1d 4f 5c 00
43,2025-03-15 23:32:02.065,DHT-11,29.79,92,-52,9.8,923.4,7,125,d7790368c03b5eca,1d 4f 5c 00
44,2025-03-15 23:33:04.244,DHT-11,29.79,92,-51,9.2,923.2,7,125,d7790368c03b5eca,1d 4f 5c 00
45,2025-03-15 23:34:06.437,DHT-11,29.79,92,-53,10.2,922.6,7,125,d7790368c03b5eca,1d 4f 5c 00
46,2025-03-15 23:36:10.79,DHT-11,29.79,92,-51,7.2,923,7,125,d7790368c03b5eca,1d 4f 5c 00
47,2025-03-15 23:37:12.978,DHT-11,29.79,92,-51,9.5,923.2,7,125,d7790368c03b5eca,1d 4f 5c 00
48,2025-03-15 23:38:15.159,DHT-11,29.79,92,-54,10.5,923.4,7,125,d7790368c03b5eca,1d 4f 5c 00
49,2025-03-15 23:39:17.339,DHT-11,29.79,92,-52,9.8,922.4,7,125,d7790368c03b5eca,1d 4f 5c 00
50,2025-03-15 23:40:19.525,DHT-11,29.79,92,-49,8.8,922.8,7,125,d7790368c03b5eca,1d 4f 5c 00
51,2025-03-15 23:41:21.699,DHT-11,29.79,92,-49,9.2,922.2,7,125,d7790368c03b5eca,1d 4f 5c 00
52,2025-03-15 23:42:23.89,DHT-11,29.79,92,-52,9,923.4,7,125,d7790368c03b5eca,1d 4f 5c 00
53,2025-03-15 23:43:26.066,DHT-11,29.79,92,-51,9.2,923.2,7,125,d7790368c03b5eca,1d 4f 5c 00
54,2025-03-15 23:44:28.249,DHT-11,29.79,92,-51,8,923,7,125,d7790368c03b5eca,1d 4f 5c 00
55,2025-03-15 23:45:30.429,DHT-11,29.79,92,-53,10,922.6,7,125,d7790368c03b5eca,1d 4f 5c 00
56,2025-03-15 23:46:32.61,DHT-11,29.79,92,-49,8.2,923.2,7,125,d7790368c03b5eca,1d 4f 5c 00
57,2025-03-15 23:48:36.969,DHT-11,29.79,92,-53,9.8,923.4,7,125,d7790368c03b5eca,1d 4f 5c 00
58,2025-03-15 23:48:42.462,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
59,2025-03-15 23:48:42.105,DHT-11,,,-51,7.8,923,7,125,d7790368c03b5eca,Invalid
60,2025-03-15 23:48:46.729,DHT-11,,,-49,9,922.2,7,125,d7790368c03b5eca,Invalid
61,2025-03-15 23:48:47.076,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
62,2025-03-15 23:49:48.916,DHT-11,29.79,92,-49,8.5,922.8,7,125,d7790368c03b5eca,1d 4f 5c 00
63,2025-03-15 23:49:54.039,DHT-11,29.79,92,-53,10,922.6,7,125,d7790368c03b5eca,1d 4f 5c 00
64,2025-03-15 23:49:59.533,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
65,2025-03-15 23:49:59.178,DHT-11,,,-51,9,923.4,7,125,d7790368c03b5eca,Invalid
66,2025-03-15 23:51:05.979,DHT-11,29.79,92,-52,10.5,922.4,7,125,d7790368c03b5eca,1d 4f 5c 00
67,2025-03-15 23:51:11.109,DHT-11,,,-51,8.2,923.2,7,125,d7790368c03b5eca,Invalid
68,2025-03-15 23:51:11.562,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
69,2025-03-15 23:52:13.299,DHT-11,29.79,92,-49,8.8,923.2,7,125,d7790368c03b5eca,1d 4f 5c 00
70,2025-03-15 23:53:15.479,DHT-11,29.79,92,-51,9.2,922.8,7,125,d7790368c03b5eca,1d 4f 5c 00
71,2025-03-15 23:54:17.659,DHT-11,29.79,92,-51,8,923,7,125,d7790368c03b5eca,1d 4f 5c 00
72,2025-03-15 23:55:19.837,DHT-11,29.79,92,-53,11.5,922.6,7,125,d7790368c03b5eca,1d 4f 5c 00
73,2025-03-15 23:56:22.016,DHT-11,29.79,92,-49,9.2,922.2,7,125,d7790368c03b5eca,1d 4f 5c 00
74,2025-03-15 23:57:24.209,DHT-11,29.79,92,-53,10.5,923.2,7,125,d7790368c03b5eca,1d 4f 5c 00
75,2025-03-15 23:58:26.389,DHT-11,29.79,92,-54,10.2,922.4,7,125,d7790368c03b5eca,1d 4f 5c 00
76,2025-03-15 23:59:28.57,DHT-11,29.79,92,-53,10.5,923.4,7,125,d7790368c03b5eca,1d 4f 5c 00
77,2025-03-16 00:01:32.929,DHT-11,29.79,92,-51,9.5,923.2,7,125,d7790368c03b5eca,1d 4f 5c 00
78,2025-03-16 00:02:35.119,DHT-11,29.79,92,-49,8.8,923.4,7,125,d7790368c03b5eca,1d 4f 5c 00
79,2025-03-16 00:03:37.299,DHT-11,29.79,92,-51,9.8,923.4,7,125,d7790368c03b5eca,1d 4f 5c 00
80,2025-03-16 00:05:41.654,DHT-11,29.79,92,-53,9.2,922.6,7,125,d7790368c03b5eca,1d 4f 5c 00
81,2025-03-16 00:06:43.838,DHT-11,29.79,92,-51,10,922.8,7,125,d7790368c03b5eca,1d 4f 5c 00
82,2025-03-16 00:07:46.025,DHT-11,29.79,92,-51,9.8,923.2,7,125,d7790368c03b5eca,1d 4f 5c 00
83,2025-03-16 00:08:48.198,DHT-11,29.79,92,-51,9.8,923.2,7,125,d7790368c03b5eca,1d 4f 5c 00
84,2025-03-16 00:09:50.379,DHT-11,29.79,92,-49,9.5,922.2,7,125,d7790368c03b5eca,1d 4f 5c 00
85,2025-03-16 00:09:55.519,DHT-11,,,-51,9,923.4,7,125,d7790368c03b5eca,Invalid
86,2025-03-16 00:09:56.639,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
87,2025-03-16 00:10:00.131,DHT-11,,,-49,6.8,923,7,125,d7790368c03b5eca,Invalid
88,2025-03-16 00:10:00.49,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
89,2025-03-16 00:11:02.317,DHT-11,29.79,92,-51,9,922.4,7,125,d7790368c03b5eca,1d 4f 5c 00
90,2025-03-16 00:11:07.458,DHT-11,29.79,92,-51,9.8,923.2,7,125,d7790368c03b5eca,1d 4f 5c 00
91,2025-03-16 00:11:12.933,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
92,2025-03-16 00:11:12.587,DHT-11,,,-48,9,923.4,7,125,d7790368c03b5eca,Invalid
93,2025-03-16 00:11:17.219,DHT-11,,,-51,9.8,922.8,7,125,d7790368c03b5eca,Invalid
94,2025-03-16 00:11:17.568,DHT-11,,,,,,,,d7790368c03b5eca,Invalid
95,2025-03-16 00:12:19.389,DHT-11,29.79,92,-51,10.2,922.2,7,125,d7790368c03b5eca,1d 4f 5c 00
96,2025-03-16 00:13:21.575,DHT-11,29.79,92,-51,10.2,923.2,7,125,d7790368c03b5eca,1d 4f 5c 00
97,2025-03-16 00:14:23.753,DHT-11,29.79,92,-49,8.8,922.4,7,125,d7790368c03b5eca,1d 4f 5c 00
98,2025-03-16 00:16:28.12,DHT-11,29.79,92,-51,9,923.4,7,125,d7790368c03b5eca,1d 4f 5c 00
99,2025-03-16 00:17:30.31,DHT-11,29.79,92,-48,7.5,923,7,125,d7790368c03b5eca,1d 4f 5c 00
100,2025-03-16 00:18:32.479,DHT-11,29.6,92,-51,10.2,922.6,7,125,d7790368c03b5eca,1d 3c 5c 00
101,2025-03-16 00:19:34.662,DHT-11,29.5,92,-51,11.5,922.8,7,125,d7790368c03b5eca,1d 32 5c 00
102,2025-03-16 00:20:36.842,DHT-11,29.29,92,-51,10.2,923.4,7,125,d7790368c03b5eca,1d 1d 5c 00
103,2025-03-16 00:21:39.029,DHT-11,29.29,92,-51,6.8,923,7,125,d7790368c03b5eca,1d 1d 5c 00
104,2025-03-16 00:22:41.212,DHT-11,29.29,92,-52,9,922.4,7,125,d7790368c03b5eca,1d 1d 5c 00
105,2025-03-16 00:23:43.388,DHT-11,29.29,92,-49,9.2,922.2,7,125,d7790368c03b5eca,1d 1d 5c 00
106,2025-03-16 00:25:47.756,DHT-11,29.29,92,-52,9.5,923.4,7,125,d7790368c03b5eca,1d 1d 5c 00
107,2025-03-16 00:26:49.94,DHT-11,29.29,92,-49,8.8,923.2,7,125,d7790368c03b5eca,1d 1d 5c 00
108,2025-03-16 00:27:52.12,DHT-11,29.29,92,-53,9.8,922.6,7,125,d7790368c03b5eca,1d 1d 5c 00
109,2025-03-16 00:28:54.308,DHT-11,29.29,92,-51,10,923.2,7,125,d7790368c03b5eca,1d 1d 5c 00
110,2025-03-16 00:29:56.488,DHT-11,29.29,92,-51,10.5,923.2,7,125,d7790368c03b5eca,1d 1d 5c 00
111,2025-03-16 00:30:58.669,DHT-11,29.29,92,-51,9.2,922.2,7,125,d7790368c03b5eca,1d 1d 5c 00
112,2025-03-16 00:31:03.789,DHT-11,,,-53,10.8,922.6,7,125,d7790368c03b5eca,Invalid
